"biceps","bone","caliper1","caliper2","caliper3","calories","chest","comment","dateTime","fat","hip","lbm","muscle","neck","thigh","visceralFat","waist","water","weight"
0.0,0.0,0.0,0.0,0.0,0.0,0.0,"","2016-10-27 00:00",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,"","2016-10-20 00:00",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.7
0.0,0.0,0.0,0.0,0.0,0.0,0.0,"","2016-10-19 00:00",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.2
0.0,0.0,0.0,0.0,0.0,0.0,0.0,"","2016-10-18 00:00",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,"","2016-10-17 00:00",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,"","2016-10-16 00:00",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.6
0.0,0.0,0.0,0.0,0.0,0.0,0.0,"","2016-10-14 00:00",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.9
0.0,0.0,0.0,0.0,0.0,0.0,0.0,"","2016-10-11 00:00",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.9
0.0,0.0,0.0,0.0,0.0,0.0,0.0,"","2016-10-10 00:00",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,"","2016-10-09 00:00",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.2
0.0,0.0,0.0,0.0,0.0,0.0,0.0,"","2016-10-07 00:00",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.3
0.0,0.0,0.0,0.0,0.0,0.0,0.0,"","2016-10-05 00:00",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.5
0.0,0.0,0.0,0.0,0.0,0.0,0.0,"","2016-10-04 00:00",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.8
0.0,0.0,0.0,0.0,0.0,0.0,0.0,"","2016-10-03 00:00",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,"","2016-10-01 00:00",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.8
0.0,0.0,0.0,0.0,0.0,0.0,0.0,"","2016-09-30 00:00",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.9
0.0,0.0,0.0,0.0,0.0,0.0,0.0,"","2016-09-29 00:00",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.4
0.0,0.0,0.0,0.0,0.0,0.0,0.0,"","2016-09-27 00:00",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.1
